Województwo,Powiat,Miejscowość,Kod pocztowy
świętokrzyskie,kielecki,Dębno,26-006
świętokrzyskie,kielecki,Hucisko,26-006
świętokrzyskie,kielecki,Jeleniów,26-006
świętokrzyskie,kielecki,Jeleniów (Dębniak),26-006
świętokrzyskie,kielecki,Jeziorko,26-006
świętokrzyskie,kielecki,Milanowska Wólka,26-006
świętokrzyskie,kielecki,Mirocice (Kępa),26-006
świętokrzyskie,kielecki,Mirocice (Trochowiny),26-006
świętokrzyskie,kielecki,Mirocice,26-006
świętokrzyskie,kielecki,Nowa Słupia,26-006
świętokrzyskie,kielecki,Nowa Słupia (Święty Krzyż),26-006
świętokrzyskie,kielecki,Paprocice,26-006
świętokrzyskie,kielecki,Pokrzywianka,26-006
świętokrzyskie,kielecki,Pokrzywianka (Pokrzywianka Górna),26-006
świętokrzyskie,kielecki,Pokrzywianka (Pokrzywianka Dolna),26-006
świętokrzyskie,kielecki,Rudki,26-006
świętokrzyskie,kielecki,Serwis,26-006
świętokrzyskie,kielecki,Skały,26-006
świętokrzyskie,kielecki,Sosnówka,26-006
świętokrzyskie,kielecki,Sosnówka (Skowroniec),26-006
świętokrzyskie,kielecki,Sosnówka (Osiedle Górne),26-006
świętokrzyskie,kielecki,Stara Słupia,26-006
świętokrzyskie,kielecki,Stara Słupia (Podchełmie),26-006
świętokrzyskie,kielecki,Trzcianka,26-006
świętokrzyskie,kielecki,Włochy,26-006
świętokrzyskie,kielecki,Wola Szczygiełkowa,26-006
świętokrzyskie,kielecki,Bęczków,26-008
świętokrzyskie,kielecki,Bęczków (Niwy),26-008
świętokrzyskie,kielecki,Bęczków (Komorniki Pierwsze),26-008
świętokrzyskie,kielecki,Bęczków (Stara Wieś),26-008
świętokrzyskie,kielecki,Bęczków (Górka),26-008
świętokrzyskie,kielecki,Bęczków (Komorniki Drugie),26-008
świętokrzyskie,kielecki,Górno,26-008
świętokrzyskie,kielecki,Górno (Bór),26-008
świętokrzyskie,kielecki,Górno (Rudki),26-008
świętokrzyskie,kielecki,Górno-Parcele,26-008
świętokrzyskie,kielecki,Górno-Zawada,26-008
świętokrzyskie,kielecki,Krajno Drugie,26-008
świętokrzyskie,kielecki,Krajno Pierwsze,26-008
świętokrzyskie,kielecki,Krajno-Parcele,26-008
świętokrzyskie,kielecki,Krajno-Zagórze,26-008
świętokrzyskie,kielecki,Leszczyny,26-008
świętokrzyskie,kielecki,Podmąchocice,26-008
świętokrzyskie,kielecki,Radlin,26-008
świętokrzyskie,kielecki,Radlin (Ogrodzenie),26-008
świętokrzyskie,kielecki,Skorzeszyce,26-008
świętokrzyskie,kielecki,Wola Jachowa,26-008
świętokrzyskie,kielecki,Wola Jachowa (Pipała),26-008
świętokrzyskie,kielecki,Bodzentyn,26-010
świętokrzyskie,kielecki,Celiny,26-010
świętokrzyskie,kielecki,Cerle,26-010
świętokrzyskie,kielecki,Dąbrowa Dolna,26-010
świętokrzyskie,kielecki,Dąbrowa Górna,26-010
świętokrzyskie,kielecki,Hucisko,26-010
świętokrzyskie,kielecki,Kamieniec,26-010
świętokrzyskie,kielecki,Kamienna Góra,26-010
świętokrzyskie,kielecki,Kresy,26-010
świętokrzyskie,kielecki,Leśna-Stara Wieś,26-010
świętokrzyskie,kielecki,Leśna-Stara Wieś (Chrusty),26-010
świętokrzyskie,kielecki,Orzechówka,26-010
świętokrzyskie,kielecki,Parcelanci,26-010
świętokrzyskie,kielecki,Parcele,26-010
świętokrzyskie,kielecki,Podgórze,26-010
świętokrzyskie,kielecki,Podkonarze,26-010
świętokrzyskie,kielecki,Podlesie,26-010
świętokrzyskie,kielecki,Podmielowiec,26-010
świętokrzyskie,kielecki,Podmielowiec (Kamionka),26-010
świętokrzyskie,kielecki,Psary-Kąty,26-010
świętokrzyskie,kielecki,Psary-Podłazy,26-010
świętokrzyskie,kielecki,Psary-Stara Wieś,26-010
świętokrzyskie,kielecki,Siekierno-Podmieście,26-010
świętokrzyskie,kielecki,Siekierno-Przedgrab,26-010
świętokrzyskie,kielecki,Siekierno-Przedgrab (Siekierno-Smyków),26-010
świętokrzyskie,kielecki,Siekierno-Przedgrab (Siekierno-Stara Wieś),26-010
świętokrzyskie,kielecki,Sieradowice Drugie,26-010
świętokrzyskie,kielecki,Sieradowice Pierwsze (Ośrodek),26-010
świętokrzyskie,kielecki,Sieradowice Pierwsze,26-010
świętokrzyskie,kielecki,Sieradowice-Parcele,26-010
świętokrzyskie,kielecki,Ściegnia,26-010
świętokrzyskie,kielecki,Ściegnia (Skorucin),26-010
świętokrzyskie,kielecki,Śniadka Druga,26-010
świętokrzyskie,kielecki,Śniadka Pierwsza,26-010
świętokrzyskie,kielecki,Śniadka Trzecia,26-010
świętokrzyskie,kielecki,Święta Katarzyna,26-010
świętokrzyskie,kielecki,Święta Katarzyna (Grabowa),26-010
świętokrzyskie,kielecki,Trzcianka,26-010
świętokrzyskie,kielecki,Wiącka,26-010
świętokrzyskie,kielecki,Wiącka (Kapkazy),26-010
świętokrzyskie,kielecki,Wilków,26-010
świętokrzyskie,kielecki,Wzdół Rządowy,26-010
świętokrzyskie,kielecki,Wzdół-Kolonia,26-010
świętokrzyskie,kielecki,Wzdół-Kolonia (Stara Wieś),26-010
świętokrzyskie,kielecki,Wzdół-Parcele,26-010
świętokrzyskie,kielecki,Brody,26-015
świętokrzyskie,kielecki,Czarna,26-015
świętokrzyskie,kielecki,Drugnia (Drugnia-Zalesie),26-015
świętokrzyskie,kielecki,Drugnia (Drugnia-Parcela),26-015
świętokrzyskie,kielecki,Drugnia,26-015
świętokrzyskie,kielecki,Drugnia Rządowa,26-015
świętokrzyskie,kielecki,Górki,26-015
świętokrzyskie,kielecki,Górki (Górki Maleszowskie),26-015
świętokrzyskie,kielecki,Gumienice (Towarzystwo),26-015
świętokrzyskie,kielecki,Gumienice,26-015
świętokrzyskie,kielecki,Gumienice (Nowe Gumienice),26-015
świętokrzyskie,kielecki,Gumienice (Straszniów Gumienicki),26-015
świętokrzyskie,kielecki,Holendry,26-015
świętokrzyskie,kielecki,Holendry (Holendry-Leonów),26-015
świętokrzyskie,kielecki,Kalina Górecka,26-015
świętokrzyskie,kielecki,Komórki,26-015
świętokrzyskie,kielecki,Łuczewnica,26-015
świętokrzyskie,kielecki,Maleszowa,26-015
świętokrzyskie,kielecki,Osiny (Osiny-Lizawy),26-015
świętokrzyskie,kielecki,Osiny,26-015
świętokrzyskie,kielecki,Pierzchnianka,26-015
świętokrzyskie,kielecki,Pierzchnica,26-015
świętokrzyskie,kielecki,Podlesie,26-015
świętokrzyskie,kielecki,Podlesie (Nowa Droga),26-015
świętokrzyskie,kielecki,Podstoła,26-015
świętokrzyskie,kielecki,Podstoła (Podstoła-Żabiniec),26-015
świętokrzyskie,kielecki,Skrzelczyce,26-015
świętokrzyskie,kielecki,Strojnów,26-015
świętokrzyskie,kielecki,Szczecno,26-015
świętokrzyskie,kielecki,Ujny,26-015
świętokrzyskie,kielecki,Wierzbie,26-015
świętokrzyskie,kielecki,Borzykowa (Borzykowska Wygoda),26-020
świętokrzyskie,kielecki,Borzykowa,26-020
świętokrzyskie,kielecki,Celiny,26-020
świętokrzyskie,kielecki,Chmielnik,26-020
świętokrzyskie,kielecki,Chmielnik (Ptasznik),26-020
świętokrzyskie,kielecki,Chomentówek,26-020
świętokrzyskie,kielecki,Ciecierze,26-020
świętokrzyskie,kielecki,Ciecierze (Andrzejówka),26-020
świętokrzyskie,kielecki,Grabowiec,26-020
świętokrzyskie,kielecki,Holendry,26-020
świętokrzyskie,kielecki,Jasień,26-020
świętokrzyskie,kielecki,Kotlice,26-020
świętokrzyskie,kielecki,Lipy,26-020
świętokrzyskie,kielecki,Lubania,26-020
świętokrzyskie,kielecki,Łagiewniki,26-020
świętokrzyskie,kielecki,Ługi,26-020
świętokrzyskie,kielecki,Minostowice,26-020
świętokrzyskie,kielecki,Piotrkowice,26-020
świętokrzyskie,kielecki,Przededworze,26-020
świętokrzyskie,kielecki,Sędziejowice,26-020
świętokrzyskie,kielecki,Suchowola,26-020
świętokrzyskie,kielecki,Suliszów,26-020
świętokrzyskie,kielecki,Suskrajowice,26-020
świętokrzyskie,kielecki,Szyszczyce,26-020
świętokrzyskie,kielecki,Śladków Duży,26-020
świętokrzyskie,kielecki,Śladków Duży (Grzybowa),26-020
świętokrzyskie,kielecki,Śladków Duży (Miławka),26-020
świętokrzyskie,kielecki,Śladków Mały,26-020
świętokrzyskie,kielecki,Zrecze Chałupczańskie,26-020
świętokrzyskie,kielecki,Zrecze Duże,26-020
świętokrzyskie,kielecki,Zrecze Małe,26-020
świętokrzyskie,kielecki,Borków,26-021
świętokrzyskie,kielecki,Brzechów,26-021
świętokrzyskie,kielecki,Cisów,26-021
świętokrzyskie,kielecki,Daleszyce (Ławy),26-021
świętokrzyskie,kielecki,Daleszyce,26-021
świętokrzyskie,kielecki,Danków,26-021
świętokrzyskie,kielecki,Kranów,26-021
świętokrzyskie,kielecki,Marzysz (Znojów),26-021
świętokrzyskie,kielecki,Marzysz (Kaczyn),26-021
świętokrzyskie,kielecki,Marzysz (Marzysz Drugi),26-021
świętokrzyskie,kielecki,Marzysz (Marzysz Pierwszy),26-021
świętokrzyskie,kielecki,Mójcza,26-021
świętokrzyskie,kielecki,Niestachów,26-021
świętokrzyskie,kielecki,Niwy,26-021
świętokrzyskie,kielecki,Sieraków,26-021
świętokrzyskie,kielecki,Słopiec (Słopiec Rządowy),26-021
świętokrzyskie,kielecki,Słopiec (Słopiec Szlachecki),26-021
świętokrzyskie,kielecki,Smyków,26-021
świętokrzyskie,kielecki,Suków (Pastwisko),26-021
świętokrzyskie,kielecki,Suków (Papiernia),26-021
świętokrzyskie,kielecki,Suków (Borki),26-021
świętokrzyskie,kielecki,Suków (Babie),26-021
świętokrzyskie,kielecki,Suków (Podmarzysz),26-021
świętokrzyskie,kielecki,Suków,26-021
świętokrzyskie,kielecki,Trzemosna,26-021
świętokrzyskie,kielecki,Widełki,26-021
świętokrzyskie,kielecki,Wójtostwo,26-021
świętokrzyskie,kielecki,Czyżów,26-025
świętokrzyskie,kielecki,Duraczów,26-025
świętokrzyskie,kielecki,Gęsice,26-025
świętokrzyskie,kielecki,Lechówek,26-025
świętokrzyskie,kielecki,Łagów,26-025
świętokrzyskie,kielecki,Małacentów,26-025
świętokrzyskie,kielecki,Melonek,26-025
świętokrzyskie,kielecki,Melonek (Ruda),26-025
świętokrzyskie,kielecki,Nowa Zbelutka,26-025
świętokrzyskie,kielecki,Nowa Zbelutka (Kozłów),26-025
świętokrzyskie,kielecki,Nowa Zbelutka (Niwka),26-025
świętokrzyskie,kielecki,Nowa Zbelutka (Zbelutka-Garbacz),26-025
świętokrzyskie,kielecki,Nowy Staw (Cegielnia),26-025
świętokrzyskie,kielecki,Nowy Staw,26-025
świętokrzyskie,kielecki,Piotrów-Gułaczów,26-025
świętokrzyskie,kielecki,Piotrów-Kolonie,26-025
świętokrzyskie,kielecki,Piotrów-Podłazy,26-025
świętokrzyskie,kielecki,Piotrów-Porębiska,26-025
świętokrzyskie,kielecki,Piotrów-Zagościniec,26-025
świętokrzyskie,kielecki,Płucki,26-025
świętokrzyskie,kielecki,Płucki (Płucki-Łąki),26-025
świętokrzyskie,kielecki,Sadków,26-025
świętokrzyskie,kielecki,Sędek (Łągiew),26-025
świętokrzyskie,kielecki,Sędek (Gwiździowa),26-025
świętokrzyskie,kielecki,Sędek (Górna Droga),26-025
świętokrzyskie,kielecki,Sędek,26-025
świętokrzyskie,kielecki,Sędek (Orłowiny),26-025
świętokrzyskie,kielecki,Sędek (Stara Wieś Pierwsza),26-025
świętokrzyskie,kielecki,Stara Zbelutka (Kędziorka),26-025
świętokrzyskie,kielecki,Stara Zbelutka (Majorat),26-025
świętokrzyskie,kielecki,Stara Zbelutka (Poddanie),26-025
świętokrzyskie,kielecki,Stara Zbelutka (Góry),26-025
świętokrzyskie,kielecki,Stara Zbelutka,26-025
świętokrzyskie,kielecki,Stara Zbelutka (Chojny),26-025
świętokrzyskie,kielecki,Winna,26-025
świętokrzyskie,kielecki,Wiśniowa,26-025
świętokrzyskie,kielecki,Wola Łagowska,26-025
świętokrzyskie,kielecki,Zamkowa Wola,26-025
świętokrzyskie,kielecki,Złota Woda,26-025
świętokrzyskie,kielecki,Bieleckie Młyny,26-026
świętokrzyskie,kielecki,Bilcza (Zastawie),26-026
świętokrzyskie,kielecki,Bilcza,26-026
świętokrzyskie,kielecki,Brudzów,26-026
świętokrzyskie,kielecki,Brzeziny,26-026
świętokrzyskie,kielecki,Chałupki,26-026
świętokrzyskie,kielecki,Chmielowice,26-026
świętokrzyskie,kielecki,Dębska Wola,26-026
świętokrzyskie,kielecki,Drochów Dolny,26-026
świętokrzyskie,kielecki,Drochów Górny,26-026
świętokrzyskie,kielecki,Kawczyn,26-026
świętokrzyskie,kielecki,Kuby-Młyny,26-026
świętokrzyskie,kielecki,Lisów (Wygwizdów),26-026
świętokrzyskie,kielecki,Lisów,26-026
świętokrzyskie,kielecki,Łabędziów,26-026
świętokrzyskie,kielecki,Morawica,26-026
świętokrzyskie,kielecki,Nida,26-026
świętokrzyskie,kielecki,Obice,26-026
świętokrzyskie,kielecki,Piaseczna Górka,26-026
świętokrzyskie,kielecki,Podwole,26-026
świętokrzyskie,kielecki,Radomice,26-026
świętokrzyskie,kielecki,Wola Morawicka,26-026
świętokrzyskie,kielecki,Zaborze,26-026
świętokrzyskie,kielecki,Zbrza,26-026
świętokrzyskie,kielecki,Bardo,26-035
świętokrzyskie,kielecki,Celiny,26-035
świętokrzyskie,kielecki,Chańcza,26-035
świętokrzyskie,kielecki,Dębno,26-035
świętokrzyskie,kielecki,Drogowle,26-035
świętokrzyskie,kielecki,Głuchów,26-035
świętokrzyskie,kielecki,Głuchów-Lasy,26-035
świętokrzyskie,kielecki,Jamno,26-035
świętokrzyskie,kielecki,Korzenno,26-035
świętokrzyskie,kielecki,Koziel,26-035
świętokrzyskie,kielecki,Lipiny,26-035
świętokrzyskie,kielecki,Mędrów,26-035
świętokrzyskie,kielecki,Nowa Huta,26-035
świętokrzyskie,kielecki,Ociesęki,26-035
świętokrzyskie,kielecki,Papiernia,26-035
świętokrzyskie,kielecki,Pągowiec,26-035
świętokrzyskie,kielecki,Pułaczów,26-035
świętokrzyskie,kielecki,Radostów,26-035
świętokrzyskie,kielecki,Raków,26-035
świętokrzyskie,kielecki,Rakówka,26-035
świętokrzyskie,kielecki,Rembów,26-035
świętokrzyskie,kielecki,Smyków,26-035
świętokrzyskie,kielecki,Szumsko,26-035
świętokrzyskie,kielecki,Szumsko-Kolonia,26-035
świętokrzyskie,kielecki,Wola Wąkopna,26-035
świętokrzyskie,kielecki,Wólka Pokłonna (Mokradle),26-035
świętokrzyskie,kielecki,Wólka Pokłonna,26-035
świętokrzyskie,kielecki,Zalesie,26-035
świętokrzyskie,kielecki,Życiny,26-035
świętokrzyskie,kielecki,Bartków,26-050
świętokrzyskie,kielecki,Belno,26-050
świętokrzyskie,kielecki,Borowa Góra,26-050
świętokrzyskie,kielecki,Chrusty,26-050
świętokrzyskie,kielecki,Długojów,26-050
świętokrzyskie,kielecki,Goleniawy,26-050
świętokrzyskie,kielecki,Gruszka,26-050
świętokrzyskie,kielecki,Gruszka (Barcza),26-050
świętokrzyskie,kielecki,Janaszów,26-050
świętokrzyskie,kielecki,Jasiów,26-050
świętokrzyskie,kielecki,Jaworze,26-050
świętokrzyskie,kielecki,Kajetanów,26-050
świętokrzyskie,kielecki,Kajetanów Dolny,26-050
świętokrzyskie,kielecki,Kaniów,26-050
świętokrzyskie,kielecki,Kołomań,26-050
świętokrzyskie,kielecki,Lekomin,26-050
świętokrzyskie,kielecki,Osiedle Kaniów,26-050
świętokrzyskie,kielecki,Samsonów,26-050
świętokrzyskie,kielecki,Samsonów (Samsonów-Podlesie),26-050
świętokrzyskie,kielecki,Samsonów-Ciągłe,26-050
świętokrzyskie,kielecki,Samsonów-Dudków,26-050
świętokrzyskie,kielecki,Samsonów-Komorniki,26-050
świętokrzyskie,kielecki,Samsonów-Piechotne,26-050
świętokrzyskie,kielecki,Siodła,26-050
świętokrzyskie,kielecki,Szałas,26-050
świętokrzyskie,kielecki,Ścięgna,26-050
świętokrzyskie,kielecki,Tumlin-Dąbrówka,26-050
świętokrzyskie,kielecki,Tumlin-Dąbrówka (Tumlin-Zacisze),26-050
świętokrzyskie,kielecki,Tumlin-Osowa,26-050
świętokrzyskie,kielecki,Tumlin-Węgle,26-050
świętokrzyskie,kielecki,Umer,26-050
świętokrzyskie,kielecki,Wiśniówka,26-050
świętokrzyskie,kielecki,Zabłocie,26-050
świętokrzyskie,kielecki,Zachełmie,26-050
świętokrzyskie,kielecki,Zagnańsk,26-050
świętokrzyskie,kielecki,Bolechowice,26-052
świętokrzyskie,kielecki,Kowala,26-052
świętokrzyskie,kielecki,Kowala (Kowala Mała),26-052
świętokrzyskie,kielecki,Nowiny,26-052
świętokrzyskie,kielecki,Sitkówka,26-052
świętokrzyskie,kielecki,Słowik,26-052
świętokrzyskie,kielecki,Szewce,26-052
świętokrzyskie,kielecki,Szewce (Zawada),26-052
świętokrzyskie,kielecki,Trzcianki,26-052
świętokrzyskie,kielecki,Wola Murowana,26-052
świętokrzyskie,kielecki,Zagrody,26-052
świętokrzyskie,kielecki,Zagrody (Zgórsko),26-052
świętokrzyskie,kielecki,Bolmin,26-060
świętokrzyskie,kielecki,Bolmin (Kresy),26-060
świętokrzyskie,kielecki,Bolmin (Milechowy),26-060
świętokrzyskie,kielecki,Bolmin (Wymysłów),26-060
świętokrzyskie,kielecki,Bolmin (Zagaje),26-060
świętokrzyskie,kielecki,Bolmin (Zakościele),26-060
świętokrzyskie,kielecki,Chęciny (Panek),26-060
świętokrzyskie,kielecki,Chęciny (Sitkówka),26-060
świętokrzyskie,kielecki,Chęciny (Zatropie),26-060
świętokrzyskie,kielecki,Chęciny,26-060
świętokrzyskie,kielecki,Chęciny (Dobrzączka),26-060
świętokrzyskie,kielecki,Jedlnica,26-060
świętokrzyskie,kielecki,Korzecko,26-060
świętokrzyskie,kielecki,Korzecko (Zatropie),26-060
świętokrzyskie,kielecki,Lelusin,26-060
świętokrzyskie,kielecki,Lipowica,26-060
świętokrzyskie,kielecki,Łukowa,26-060
świętokrzyskie,kielecki,Miedzianka,26-060
świętokrzyskie,kielecki,Mosty,26-060
świętokrzyskie,kielecki,Ostrów (Wymysłów),26-060
świętokrzyskie,kielecki,Ostrów (Golęciny),26-060
świętokrzyskie,kielecki,Ostrów,26-060
świętokrzyskie,kielecki,Podpolichno (Charężów),26-060
świętokrzyskie,kielecki,Podpolichno (Zacisze),26-060
świętokrzyskie,kielecki,Podpolichno,26-060
świętokrzyskie,kielecki,Podzamcze,26-060
świętokrzyskie,kielecki,Polichno,26-060
świętokrzyskie,kielecki,Przymiarki,26-060
świętokrzyskie,kielecki,Radkowice,26-060
świętokrzyskie,kielecki,Siedlce,26-060
świętokrzyskie,kielecki,Skiby,26-060
świętokrzyskie,kielecki,Starochęciny,26-060
świętokrzyskie,kielecki,Starochęciny (Wrzosy),26-060
świętokrzyskie,kielecki,Tokarnia,26-060
świętokrzyskie,kielecki,Wojkowiec,26-060
świętokrzyskie,kielecki,Wolica,26-060
świętokrzyskie,kielecki,Brynica,26-065
świętokrzyskie,kielecki,Gałęzice,26-065
świętokrzyskie,kielecki,Gałęzice (Skałka),26-065
świętokrzyskie,kielecki,Gniewce,26-065
świętokrzyskie,kielecki,Janów,26-065
świętokrzyskie,kielecki,Jaworznia,26-065
świętokrzyskie,kielecki,Julianów,26-065
świętokrzyskie,kielecki,Lesica (Jeżynów),26-065
świętokrzyskie,kielecki,Lesica (Bławatków),26-065
świętokrzyskie,kielecki,Lesica (Lasek),26-065
świętokrzyskie,kielecki,Lesica,26-065
świętokrzyskie,kielecki,Łaziska,26-065
świętokrzyskie,kielecki,Łosienek,26-065
świętokrzyskie,kielecki,Łosień,26-065
świętokrzyskie,kielecki,Łubno,26-065
świętokrzyskie,kielecki,Micigózd,26-065
świętokrzyskie,kielecki,Piekoszów,26-065
świętokrzyskie,kielecki,Piekoszów (Stara Wola),26-065
świętokrzyskie,kielecki,Podzamcze,26-065
świętokrzyskie,kielecki,Rykoszyn,26-065
świętokrzyskie,kielecki,Szczukowice,26-065
świętokrzyskie,kielecki,Szczukowskie Górki,26-065
świętokrzyskie,kielecki,Wesoła (Młynki),26-065
świętokrzyskie,kielecki,Wesoła,26-065
świętokrzyskie,kielecki,Wierna Rzeka,26-065
świętokrzyskie,kielecki,Wincentów,26-065
świętokrzyskie,kielecki,Wincentów (Wincentów-Zręby),26-065
świętokrzyskie,kielecki,Zagórze,26-065
świętokrzyskie,kielecki,Zajączków,26-065
świętokrzyskie,kielecki,Akwizgran,26-067
świętokrzyskie,kielecki,Bugaj,26-067
świętokrzyskie,kielecki,Chełmce,26-067
świętokrzyskie,kielecki,Hucisko,26-067
świętokrzyskie,kielecki,Korczyn,26-067
świętokrzyskie,kielecki,Kuźniaki,26-067
świętokrzyskie,kielecki,Małogoskie,26-067
świętokrzyskie,kielecki,Niedźwiedź,26-067
świętokrzyskie,kielecki,Oblęgorek,26-067
świętokrzyskie,kielecki,Oblęgór,26-067
świętokrzyskie,kielecki,Promnik,26-067
świętokrzyskie,kielecki,Ruda Strawczyńska,26-067
świętokrzyskie,kielecki,Strawczyn,26-067
świętokrzyskie,kielecki,Strawczynek,26-067
świętokrzyskie,kielecki,Antonielów,26-070
świętokrzyskie,kielecki,Barycz,26-070
świętokrzyskie,kielecki,Czałczyn,26-070
świętokrzyskie,kielecki,Czartoszowy,26-070
świętokrzyskie,kielecki,Dobrzeszów,26-070
świętokrzyskie,kielecki,Eustachów (Eustachów Mały),26-070
świętokrzyskie,kielecki,Eustachów (Eustachów Duży),26-070
świętokrzyskie,kielecki,Eustachów (Dąbrowa),26-070
świętokrzyskie,kielecki,Ewelinów,26-070
świętokrzyskie,kielecki,Ewelinów (Skałka Polska),26-070
świętokrzyskie,kielecki,Fanisławice,26-070
świętokrzyskie,kielecki,Fanisławice (Hucisko),26-070
świętokrzyskie,kielecki,Fanisławice (Przymiarki),26-070
świętokrzyskie,kielecki,Fanisławiczki,26-070
świętokrzyskie,kielecki,Fryszerka,26-070
świętokrzyskie,kielecki,Gnieździska,26-070
świętokrzyskie,kielecki,Grabownica,26-070
świętokrzyskie,kielecki,Huta Jabłonowa,26-070
świętokrzyskie,kielecki,Jasień,26-070
świętokrzyskie,kielecki,Jedle,26-070
świętokrzyskie,kielecki,Józefina,26-070
świętokrzyskie,kielecki,Knieja,26-070
świętokrzyskie,kielecki,Krężołek,26-070
świętokrzyskie,kielecki,Lasocin,26-070
świętokrzyskie,kielecki,Łopuszno,26-070
świętokrzyskie,kielecki,Marianów,26-070
świętokrzyskie,kielecki,Michala Góra,26-070
świętokrzyskie,kielecki,Naramów,26-070
świętokrzyskie,kielecki,Nowek,26-070
świętokrzyskie,kielecki,Olszówka,26-070
świętokrzyskie,kielecki,Orczów,26-070
świętokrzyskie,kielecki,Piotrowiec,26-070
świętokrzyskie,kielecki,Podewsie,26-070
świętokrzyskie,kielecki,Przegrody,26-070
świętokrzyskie,kielecki,Ruda Zajączkowska,26-070
świętokrzyskie,kielecki,Rudniki,26-070
świętokrzyskie,kielecki,Sarbice Drugie,26-070
świętokrzyskie,kielecki,Sarbice Pierwsze,26-070
świętokrzyskie,kielecki,Snochowice (Duża Kolonia),26-070
świętokrzyskie,kielecki,Snochowice (Komorniki),26-070
świętokrzyskie,kielecki,Snochowice,26-070
świętokrzyskie,kielecki,Snochowice (Mała Kolonia),26-070
świętokrzyskie,kielecki,Snochowice (Zagórki),26-070
świętokrzyskie,kielecki,Wielebnów,26-070
świętokrzyskie,kielecki,Zasłońce,26-070
świętokrzyskie,kielecki,Baran,26-080
świętokrzyskie,kielecki,Borki,26-080
świętokrzyskie,kielecki,Chyby,26-080
świętokrzyskie,kielecki,Cierchy,26-080
świętokrzyskie,kielecki,Grzymałków,26-080
świętokrzyskie,kielecki,Kontrewers,26-080
świętokrzyskie,kielecki,Lisie Jamy,26-080
świętokrzyskie,kielecki,Malmurzyn,26-080
świętokrzyskie,kielecki,Mniów,26-080
świętokrzyskie,kielecki,Mokry Bór,26-080
świętokrzyskie,kielecki,Pałęgi,26-080
świętokrzyskie,kielecki,Pępice,26-080
świętokrzyskie,kielecki,Piaski,26-080
świętokrzyskie,kielecki,Pielaki,26-080
świętokrzyskie,kielecki,Pieradła,26-080
świętokrzyskie,kielecki,Podchyby,26-080
świętokrzyskie,kielecki,Przełom,26-080
świętokrzyskie,kielecki,Przełom (Olszyna),26-080
świętokrzyskie,kielecki,Rogowice,26-080
świętokrzyskie,kielecki,Serbinów,26-080
świętokrzyskie,kielecki,Skoki,26-080
świętokrzyskie,kielecki,Stachura,26-080
świętokrzyskie,kielecki,Węgrzynów,26-080
świętokrzyskie,kielecki,Wólka Kłucka,26-080
świętokrzyskie,kielecki,Zaborowice,26-080
świętokrzyskie,kielecki,Zachybie,26-080
świętokrzyskie,kielecki,Bobrza,26-085
świętokrzyskie,kielecki,Ciosowa,26-085
świętokrzyskie,kielecki,Ćmińsk,26-085
świętokrzyskie,kielecki,Ćmińsk (Wyrowce),26-085
świętokrzyskie,kielecki,Ćmińsk (Wykień),26-085
świętokrzyskie,kielecki,Kostomłoty Drugie,26-085
świętokrzyskie,kielecki,Kostomłoty Pierwsze,26-085
świętokrzyskie,kielecki,Miedziana Góra,26-085
świętokrzyskie,kielecki,Porzecze,26-085
świętokrzyskie,kielecki,Przyjmo,26-085
świętokrzyskie,kielecki,Tumlin-Podgród,26-085
świętokrzyskie,kielecki,Tumlin-Wykień,26-085
świętokrzyskie,skarżyski,Majków,26-110
świętokrzyskie,skarżyski,Majków (Anna),26-110
świętokrzyskie,skarżyski,Michałów (Szczepanów),26-110
świętokrzyskie,skarżyski,Michałów,26-110
świętokrzyskie,skarżyski,Skarżysko-Kamienna,26-110
świętokrzyskie,skarżyski,Grzybowa Góra,26-115
świętokrzyskie,skarżyski,Kierz Niedźwiedzi,26-115
świętokrzyskie,skarżyski,Lipowe Pole Plebańskie,26-115
świętokrzyskie,skarżyski,Lipowe Pole Skarbowe,26-115
świętokrzyskie,skarżyski,Skarżysko Kościelne (Kolonia),26-115
świętokrzyskie,skarżyski,Skarżysko Kościelne,26-115
świętokrzyskie,skarżyski,Świerczek,26-115
świętokrzyskie,skarżyski,Bliżyn,26-120
świętokrzyskie,skarżyski,Brzeście,26-120
świętokrzyskie,skarżyski,Bugaj,26-120
świętokrzyskie,skarżyski,Drożdżów,26-120
świętokrzyskie,skarżyski,Gilów,26-120
świętokrzyskie,skarżyski,Gostków,26-120
świętokrzyskie,skarżyski,Gostków (Gostków Górny),26-120
świętokrzyskie,skarżyski,Górki,26-120
świętokrzyskie,skarżyski,Górki (Barwinek),26-120
świętokrzyskie,skarżyski,Górki (Olszyny),26-120
świętokrzyskie,skarżyski,Górki (Nowiny),26-120
świętokrzyskie,skarżyski,Jastrzębia,26-120
świętokrzyskie,skarżyski,Kopcie,26-120
świętokrzyskie,skarżyski,Kucębów Dolny,26-120
świętokrzyskie,skarżyski,Kucębów Górny,26-120
świętokrzyskie,skarżyski,Kucębów-Borek,26-120
świętokrzyskie,skarżyski,Kucębów-Odcinek,26-120
świętokrzyskie,skarżyski,Mroczków,26-120
świętokrzyskie,skarżyski,Mroczków-Kamionka,26-120
świętokrzyskie,skarżyski,Mroczków-Kapturów,26-120
świętokrzyskie,skarżyski,Nowki,26-120
świętokrzyskie,skarżyski,Nowy Odrowążek,26-120
świętokrzyskie,skarżyski,Odrowążek,26-120
